trip_id,traveler_id,travel_date,origin,destination,transport_mode,distance_km,nights,cabin_class,cost_usd
TRP-1001,EMP-042,2024-01-08,BOM,LHR,FLIGHT,,,,1240.00
TRP-1002,EMP-017,2024-01-10,LHR,DEL,FLIGHT,6700,,BUSINESS,3800.00
TRP-1003,EMP-088,2024-01-12,DEL,DXB,FLIGHT,,,,180.00
TRP-1004,EMP-042,2024-01-14,LHR,CDG,TRAIN,344,,,92.00
TRP-1005,EMP-033,2024-01-15,LHR,LHR,HOTEL,,4,,520.00
TRP-1006,EMP-017,2024-01-18,DEL,BOM,FLIGHT,,,,210.00
TRP-1007,EMP-055,2024-01-22,FRA,LHR,FLIGHT,,,,340.00
TRP-1008,EMP-099,2024-01-25,LHR,LHR,CAR,185,,,68.00
TRP-1009,EMP-042,2024-02-03,BOM,SIN,FLIGHT,,,ECONOMY,450.00
TRP-1010,EMP-017,2024-02-05,DXB,LHR,FLIGHT,,,,980.00
TRP-1011,EMP-031,2024-02-07,CDG,JFK,FLIGHT,5837,,ECONOMY,1100.00
TRP-1012,EMP-088,2024-02-10,LHR,LHR,HOTEL,,2,,310.00
TRP-1013,EMP-055,2024-02-12,LHR,FRA,TRAIN,631,,,88.00
TRP-1014,EMP-099,2024-02-14,FRA,FRA,CAR,240,,,75.00
TRP-1015,EMP-033,2024-02-18,LHR,NRT,FLIGHT,9554,,BUSINESS,4500.00
TRP-1016,EMP-042,2024-02-22,SIN,SYD,FLIGHT,,,,850.00
TRP-1017,EMP-017,2024-03-01,LHR,HKG,FLIGHT,9630,,FIRST,6200.00
TRP-1018,EMP-031,2024-03-04,JFK,LAX,FLIGHT,,,,420.00
TRP-1019,EMP-088,2024-03-08,AMS,LHR,FLIGHT,,,,195.00
TRP-1020,EMP-055,2024-03-11,LHR,LHR,HOTEL,,3,,415.00
TRP-1021,EMP-099,2024-03-15,LHR,MCT,FLIGHT,,,ECONOMY,390.00
TRP-1022,EMP-042,2024-03-18,SYD,LHR,FLIGHT,,,,2100.00
TRP-1023,EMP-033,2024-03-22,LHR,LHR,CAR,310,,,95.00
TRP-1024,EMP-017,2024-04-02,HKG,SIN,FLIGHT,2659,,ECONOMY,580.00
TRP-1025,EMP-031,2024-04-05,LAX,JFK,FLIGHT,3983,,ECONOMY,390.00
